Prot,T,D,Growth
0.001,22,0,1.16215
0.001,22,0.25,1.15869
0.001,22,0.5,1.15801
0.001,22,0.75,1.15753
0.001,22,1,1.15707
0.001,22,1.25,1.15661
0.001,22,1.5,1.15616
0.001,22,1.75,1.15571
0.001,22,2,1.15525
0.001,22,2.25,1.1548
0.001,22,2.5,1.15435
0.001,22,2.75,1.15389
0.001,22,3,1.15344
0.001,22,3.25,1.15299
0.001,22,3.5,1.15254
0.001,22,3.75,1.15209
0.001,22,4,1.15163
0.001,22,4.25,1.15118
0.001,22,4.5,1.15073
0.001,22,4.75,1.15028
0.001,22,5,1.14983
0.001,22,5.25,1.14938
0.001,22,5.5,1.14893
0.001,22,5.75,1.14847
0.001,22,6,1.14802
0.001,22,6.25,1.14757
0.001,22,6.5,1.14712
0.001,22,6.75,1.14667
0.001,22,7,1.14622
0.001,22,7.25,1.14577
0.001,22,7.5,1.14532
0.001,22,7.75,1.14488
0.001,22,8,1.14443
0.001,22,8.25,1.14398
0.001,22,8.5,1.14353
0.001,22,8.75,1.14308
0.001,22,9,1.14264
0.001,22,9.25,1.14219
0.001,22,9.5,1.14174
0.001,22,9.75,1.1413
0.001,22,10,1.14085
0.001,22,10.25,1.14041
0.001,22,10.5,1.13996
0.001,22,10.75,1.13952
0.001,22,11,1.13908
0.001,22,11.25,1.13863
0.001,22,11.5,1.13819
0.001,22,11.75,1.13775
0.001,22,12,1.13731
0.001,22,12.25,1.13687
0.001,22,12.5,1.13643
0.001,22,12.75,1.13599
0.001,22,13,1.13556
0.001,22,13.25,1.13512
0.001,22,13.5,1.13469
0.001,22,13.75,1.13425
0.001,22,14,1.13382
0.001,22,14.25,1.13339
0.001,22,14.5,1.13296
0.001,22,14.75,1.13253
0.001,22,15,1.13211
0.001,22,15.25,1.13168
0.001,22,15.5,1.13126
0.001,22,15.75,1.13084
0.001,22,16,1.13042
0.001,22,16.25,1.13
0.001,22,16.5,1.12958
0.001,22,16.75,1.12917
0.001,22,17,1.12876
0.001,22,17.25,1.12835
0.001,22,17.5,1.12794
0.001,22,17.75,1.12754
0.001,22,18,1.12714
0.001,22,18.25,1.12674
0.001,22,18.5,1.12635
0.001,22,18.75,1.12596
0.001,22,19,1.12557
0.001,22,19.25,1.12519
0.001,22,19.5,1.12481
0.001,22,19.75,1.12443
0.001,22,20,1.12406
0.001,22,20.25,1.12369
0.001,22,20.5,1.12333
0.001,22,20.75,1.12298
0.001,22,21,1.12263
0.001,22,21.25,1.12228
0.001,22,21.5,1.12195
0.001,22,21.75,1.12162
0.001,22,22,1.1213
0.001,22,22.25,1.12099
0.001,22,22.5,1.12069
0.001,22,22.75,1.12041
0.001,22,23,1.12013
0.001,22,23.25,1.11986
0.001,22,23.5,1.11959
0.001,22,23.75,1.1193
0.001,22,24,1.11903
0.001,22,24.25,1.119
0.001,28,0,1.27179
0.001,28,0.25,1.26961
0.001,28,0.5,1.26759
0.001,28,0.75,1.26573
0.001,28,1,1.26403
0.001,28,1.25,1.26244
0.001,28,1.5,1.26094
0.001,28,1.75,1.25949
0.001,28,2,1.25808
0.001,28,2.25,1.25669
0.001,28,2.5,1.25532
0.001,28,2.75,1.25397
0.001,28,3,1.25262
0.001,28,3.25,1.25128
0.001,28,3.5,1.24994
0.001,28,3.75,1.24861
0.001,28,4,1.24728
0.001,28,4.25,1.24595
0.001,28,4.5,1.24462
0.001,28,4.75,1.2433
0.001,28,5,1.24197
0.001,28,5.25,1.24064
0.001,28,5.5,1.23932
0.001,28,5.75,1.23799
0.001,28,6,1.23667
0.001,28,6.25,1.23534
0.001,28,6.5,1.23402
0.001,28,6.75,1.23269
0.001,28,7,1.23137
0.001,28,7.25,1.23005
0.001,28,7.5,1.22872
0.001,28,7.75,1.2274
0.001,28,8,1.22607
0.001,28,8.25,1.22475
0.001,28,8.5,1.22342
0.001,28,8.75,1.2221
0.001,28,9,1.22078
0.001,28,9.25,1.21945
0.001,28,9.5,1.21813
0.001,28,9.75,1.2168
0.001,28,10,1.21548
0.001,28,10.25,1.21416
0.001,28,10.5,1.21283
0.001,28,10.75,1.21151
0.001,28,11,1.21019
0.001,28,11.25,1.20886
0.001,28,11.5,1.20754
0.001,28,11.75,1.20622
0.001,28,12,1.2049
0.001,28,12.25,1.20357
0.001,28,12.5,1.20225
0.001,28,12.75,1.20093
0.001,28,13,1.19961
0.001,28,13.25,1.19829
0.001,28,13.5,1.19697
0.001,28,13.75,1.19565
0.001,28,14,1.19433
0.001,28,14.25,1.19301
0.001,28,14.5,1.19169
0.001,28,14.75,1.19038
0.001,28,15,1.18906
0.001,28,15.25,1.18775
0.001,28,15.5,1.18643
0.001,28,15.75,1.18512
0.001,28,16,1.18381
0.001,28,16.25,1.1825
0.001,28,16.5,1.18119
0.001,28,16.75,1.17988
0.001,28,17,1.17858
0.001,28,17.25,1.17727
0.001,28,17.5,1.17597
0.001,28,17.75,1.17468
0.001,28,18,1.17338
0.001,28,18.25,1.17209
0.001,28,18.5,1.1708
0.001,28,18.75,1.16952
0.001,28,19,1.16824
0.001,28,19.25,1.16696
0.001,28,19.5,1.16569
0.001,28,19.75,1.16443
0.001,28,20,1.16318
0.001,28,20.25,1.16193
0.001,28,20.5,1.16069
0.001,28,20.75,1.15946
0.001,28,21,1.15825
0.001,28,21.25,1.15705
0.001,28,21.5,1.15586
0.001,28,21.75,1.1547
0.001,28,22,1.15356
0.001,28,22.25,1.15245
0.001,28,22.5,1.15137
0.001,28,22.75,1.15033
0.001,28,23,1.14934
0.001,28,23.25,1.1484
0.001,28,23.5,1.14751
0.001,28,23.75,1.14667
0.001,28,24,1.14583
0.001,28,24.25,1.14582
0.00112202,22,0,1.16851
0.00112202,22,0.25,1.16456
0.00112202,22,0.5,1.16378
0.00112202,22,0.75,1.16323
0.00112202,22,1,1.16269
0.00112202,22,1.25,1.16216
0.00112202,22,1.5,1.16164
0.00112202,22,1.75,1.16112
0.00112202,22,2,1.1606
0.00112202,22,2.25,1.16008
0.00112202,22,2.5,1.15956
0.00112202,22,2.75,1.15904
0.00112202,22,3,1.15852
0.00112202,22,3.25,1.158
0.00112202,22,3.5,1.15748
0.00112202,22,3.75,1.15697
0.00112202,22,4,1.15645
0.00112202,22,4.25,1.15593
0.00112202,22,4.5,1.15541
0.00112202,22,4.75,1.1549
0.00112202,22,5,1.15438
0.00112202,22,5.25,1.15386
0.00112202,22,5.5,1.15334
0.00112202,22,5.75,1.15283
0.00112202,22,6,1.15231
0.00112202,22,6.25,1.1518
0.00112202,22,6.5,1.15128
0.00112202,22,6.75,1.15076
0.00112202,22,7,1.15025
0.00112202,22,7.25,1.14973
0.00112202,22,7.5,1.14922
0.00112202,22,7.75,1.1487
0.00112202,22,8,1.14819
0.00112202,22,8.25,1.14768
0.00112202,22,8.5,1.14716
0.00112202,22,8.75,1.14665
0.00112202,22,9,1.14614
0.00112202,22,9.25,1.14563
0.00112202,22,9.5,1.14511
0.00112202,22,9.75,1.1446
0.00112202,22,10,1.14409
0.00112202,22,10.25,1.14358
0.00112202,22,10.5,1.14307
0.00112202,22,10.75,1.14257
0.00112202,22,11,1.14206
0.00112202,22,11.25,1.14155
0.00112202,22,11.5,1.14104
0.00112202,22,11.75,1.14054
0.00112202,22,12,1.14004
0.00112202,22,12.25,1.13953
0.00112202,22,12.5,1.13903
0.00112202,22,12.75,1.13853
0.00112202,22,13,1.13803
0.00112202,22,13.25,1.13753
0.00112202,22,13.5,1.13703
0.00112202,22,13.75,1.13653
0.00112202,22,14,1.13604
0.00112202,22,14.25,1.13555
0.00112202,22,14.5,1.13505
0.00112202,22,14.75,1.13456
0.00112202,22,15,1.13407
0.00112202,22,15.25,1.13359
0.00112202,22,15.5,1.1331
0.00112202,22,15.75,1.13262
0.00112202,22,16,1.13214
0.00112202,22,16.25,1.13166
0.00112202,22,16.5,1.13118
0.00112202,22,16.75,1.13071
0.00112202,22,17,1.13024
0.00112202,22,17.25,1.12977
0.00112202,22,17.5,1.12931
0.00112202,22,17.75,1.12884
0.00112202,22,18,1.12839
0.00112202,22,18.25,1.12793
0.00112202,22,18.5,1.12748
0.00112202,22,18.75,1.12703
0.00112202,22,19,1.12659
0.00112202,22,19.25,1.12615
0.00112202,22,19.5,1.12571
0.00112202,22,19.75,1.12528
0.00112202,22,20,1.12486
0.00112202,22,20.25,1.12444
0.00112202,22,20.5,1.12403
0.00112202,22,20.75,1.12362
0.00112202,22,21,1.12322
0.00112202,22,21.25,1.12283
0.00112202,22,21.5,1.12244
0.00112202,22,21.75,1.12207
0.00112202,22,22,1.12171
0.00112202,22,22.25,1.12135
0.00112202,22,22.5,1.12101
0.00112202,22,22.75,1.12068
0.00112202,22,23,1.12037
0.00112202,22,23.25,1.12006
0.00112202,22,23.5,1.11975
0.00112202,22,23.75,1.11942
0.00112202,22,24,1.1191
0.00112202,22,24.25,1.11907
0.00112202,28,0,1.28719
0.00112202,28,0.25,1.28473
0.00112202,28,0.5,1.28243
0.00112202,28,0.75,1.28033
0.00112202,28,1,1.2784
0.00112202,28,1.25,1.2766
0.00112202,28,1.5,1.27491
0.00112202,28,1.75,1.27328
0.00112202,28,2,1.2717
0.00112202,28,2.25,1.27015
0.00112202,28,2.5,1.26862
0.00112202,28,2.75,1.2671
0.00112202,28,3,1.2656
0.00112202,28,3.25,1.2641
0.00112202,28,3.5,1.2626
0.00112202,28,3.75,1.26111
0.00112202,28,4,1.25963
0.00112202,28,4.25,1.25814
0.00112202,28,4.5,1.25666
0.00112202,28,4.75,1.25517
0.00112202,28,5,1.25369
0.00112202,28,5.25,1.25221
0.00112202,28,5.5,1.25073
0.00112202,28,5.75,1.24925
0.00112202,28,6,1.24777
0.00112202,28,6.25,1.24629
0.00112202,28,6.5,1.24481
0.00112202,28,6.75,1.24333
0.00112202,28,7,1.24185
0.00112202,28,7.25,1.24036
0.00112202,28,7.5,1.23888
0.00112202,28,7.75,1.2374
0.00112202,28,8,1.23592
0.00112202,28,8.25,1.23444
0.00112202,28,8.5,1.23296
0.00112202,28,8.75,1.23148
0.00112202,28,9,1.23
0.00112202,28,9.25,1.22853
0.00112202,28,9.5,1.22705
0.00112202,28,9.75,1.22557
0.00112202,28,10,1.22409
0.00112202,28,10.25,1.22261
0.00112202,28,10.5,1.22113
0.00112202,28,10.75,1.21965
0.00112202,28,11,1.21817
0.00112202,28,11.25,1.21669
0.00112202,28,11.5,1.21521
0.00112202,28,11.75,1.21374
0.00112202,28,12,1.21226
0.00112202,28,12.25,1.21078
0.00112202,28,12.5,1.2093
0.00112202,28,12.75,1.20783
0.00112202,28,13,1.20635
0.00112202,28,13.25,1.20488
0.00112202,28,13.5,1.2034
0.00112202,28,13.75,1.20193
0.00112202,28,14,1.20045
0.00112202,28,14.25,1.19898
0.00112202,28,14.5,1.19751
0.00112202,28,14.75,1.19604
0.00112202,28,15,1.19457
0.00112202,28,15.25,1.1931
0.00112202,28,15.5,1.19163
0.00112202,28,15.75,1.19016
0.00112202,28,16,1.1887
0.00112202,28,16.25,1.18723
0.00112202,28,16.5,1.18577
0.00112202,28,16.75,1.18431
0.00112202,28,17,1.18286
0.00112202,28,17.25,1.1814
0.00112202,28,17.5,1.17995
0.00112202,28,17.75,1.1785
0.00112202,28,18,1.17705
0.00112202,28,18.25,1.17561
0.00112202,28,18.5,1.17418
0.00112202,28,18.75,1.17274
0.00112202,28,19,1.17132
0.00112202,28,19.25,1.16989
0.00112202,28,19.5,1.16848
0.00112202,28,19.75,1.16707
0.00112202,28,20,1.16567
0.00112202,28,20.25,1.16428
0.00112202,28,20.5,1.16291
0.00112202,28,20.75,1.16154
0.00112202,28,21,1.16019
0.00112202,28,21.25,1.15886
0.00112202,28,21.5,1.15754
0.00112202,28,21.75,1.15625
0.00112202,28,22,1.15499
0.00112202,28,22.25,1.15377
0.00112202,28,22.5,1.15258
0.00112202,28,22.75,1.15144
0.00112202,28,23,1.15035
0.00112202,28,23.25,1.14931
