Prot,T,D,Growth
0.001,22,0,1.30145
0.001,22,0.25,1.29095
0.001,22,0.5,1.2886
0.001,22,0.75,1.2868
0.001,22,1,1.28508
0.001,22,1.25,1.2834
0.001,22,1.5,1.28174
0.001,22,1.75,1.2801
0.001,22,2,1.27846
0.001,22,2.25,1.27683
0.001,22,2.5,1.2752
0.001,22,2.75,1.27358
0.001,22,3,1.27195
0.001,22,3.25,1.27033
0.001,22,3.5,1.26871
0.001,22,3.75,1.26709
0.001,22,4,1.26546
0.001,22,4.25,1.26384
0.001,22,4.5,1.26222
0.001,22,4.75,1.2606
0.001,22,5,1.25898
0.001,22,5.25,1.25736
0.001,22,5.5,1.25575
0.001,22,5.75,1.25413
0.001,22,6,1.25251
0.001,22,6.25,1.25089
0.001,22,6.5,1.24928
0.001,22,6.75,1.24766
0.001,22,7,1.24605
0.001,22,7.25,1.24443
0.001,22,7.5,1.24282
0.001,22,7.75,1.24121
0.001,22,8,1.23959
0.001,22,8.25,1.23798
0.001,22,8.5,1.23637
0.001,22,8.75,1.23477
0.001,22,9,1.23316
0.001,22,9.25,1.23155
0.001,22,9.5,1.22995
0.001,22,9.75,1.22834
0.001,22,10,1.22674
0.001,22,10.25,1.22514
0.001,22,10.5,1.22354
0.001,22,10.75,1.22194
0.001,22,11,1.22035
0.001,22,11.25,1.21875
0.001,22,11.5,1.21716
0.001,22,11.75,1.21557
0.001,22,12,1.21398
0.001,22,12.25,1.2124
0.001,22,12.5,1.21081
0.001,22,12.75,1.20923
0.001,22,13,1.20766
0.001,22,13.25,1.20608
0.001,22,13.5,1.20451
0.001,22,13.75,1.20294
0.001,22,14,1.20137
0.001,22,14.25,1.19981
0.001,22,14.5,1.19826
0.001,22,14.75,1.1967
0.001,22,15,1.19515
0.001,22,15.25,1.19361
0.001,22,15.5,1.19207
0.001,22,15.75,1.19053
0.001,22,16,1.189
0.001,22,16.25,1.18748
0.001,22,16.5,1.18596
0.001,22,16.75,1.18445
0.001,22,17,1.18294
0.001,22,17.25,1.18144
0.001,22,17.5,1.17995
0.001,22,17.75,1.17847
0.001,22,18,1.17699
0.001,22,18.25,1.17553
0.001,22,18.5,1.17407
0.001,22,18.75,1.17262
0.001,22,19,1.17118
0.001,22,19.25,1.16976
0.001,22,19.5,1.16834
0.001,22,19.75,1.16694
0.001,22,20,1.16554
0.001,22,20.25,1.16417
0.001,22,20.5,1.1628
0.001,22,20.75,1.16146
0.001,22,21,1.16013
0.001,22,21.25,1.15882
0.001,22,21.5,1.15753
0.001,22,21.75,1.15627
0.001,22,22,1.15504
0.001,22,22.25,1.15384
0.001,22,22.5,1.15267
0.001,22,22.75,1.15155
0.001,22,23,1.15048
0.001,22,23.25,1.14946
0.001,22,23.5,1.14849
0.001,22,23.75,1.14757
0.001,22,24,1.14664
0.001,22,24.25,1.14664
0.001,28,0,1.30145
0.001,28,0.25,1.29889
0.001,28,0.5,1.29652
0.001,28,0.75,1.29436
0.001,28,1,1.29237
0.001,28,1.25,1.29051
0.001,28,1.5,1.28875
0.001,28,1.75,1.28706
0.001,28,2,1.28541
0.001,28,2.25,1.28379
0.001,28,2.5,1.28219
0.001,28,2.75,1.28061
0.001,28,3,1.27904
0.001,28,3.25,1.27747
0.001,28,3.5,1.27591
0.001,28,3.75,1.27436
0.001,28,4,1.2728
0.001,28,4.25,1.27125
0.001,28,4.5,1.2697
0.001,28,4.75,1.26815
0.001,28,5,1.2666
0.001,28,5.25,1.26505
0.001,28,5.5,1.2635
0.001,28,5.75,1.26195
0.001,28,6,1.26041
0.001,28,6.25,1.25886
0.001,28,6.5,1.25731
0.001,28,6.75,1.25576
0.001,28,7,1.25422
0.001,28,7.25,1.25267
0.001,28,7.5,1.25112
0.001,28,7.75,1.24958
0.001,28,8,1.24803
0.001,28,8.25,1.24648
0.001,28,8.5,1.24494
0.001,28,8.75,1.24339
0.001,28,9,1.24184
0.001,28,9.25,1.2403
0.001,28,9.5,1.23875
0.001,28,9.75,1.2372
0.001,28,10,1.23566
0.001,28,10.25,1.23411
0.001,28,10.5,1.23257
0.001,28,10.75,1.23102
0.001,28,11,1.22947
0.001,28,11.25,1.22793
0.001,28,11.5,1.22638
0.001,28,11.75,1.22484
0.001,28,12,1.22329
0.001,28,12.25,1.22175
0.001,28,12.5,1.22021
0.001,28,12.75,1.21866
0.001,28,13,1.21712
0.001,28,13.25,1.21558
0.001,28,13.5,1.21404
0.001,28,13.75,1.2125
0.001,28,14,1.21095
0.001,28,14.25,1.20941
0.001,28,14.5,1.20788
0.001,28,14.75,1.20634
0.001,28,15,1.2048
0.001,28,15.25,1.20326
0.001,28,15.5,1.20173
0.001,28,15.75,1.2002
0.001,28,16,1.19866
0.001,28,16.25,1.19713
0.001,28,16.5,1.1956
0.001,28,16.75,1.19408
0.001,28,17,1.19255
0.001,28,17.25,1.19103
0.001,28,17.5,1.18951
0.001,28,17.75,1.188
0.001,28,18,1.18648
0.001,28,18.25,1.18498
0.001,28,18.5,1.18347
0.001,28,18.75,1.18197
0.001,28,19,1.18048
0.001,28,19.25,1.17899
0.001,28,19.5,1.1775
0.001,28,19.75,1.17603
0.001,28,20,1.17456
0.001,28,20.25,1.1731
0.001,28,20.5,1.17166
0.001,28,20.75,1.17022
0.001,28,21,1.1688
0.001,28,21.25,1.1674
0.001,28,21.5,1.16602
0.001,28,21.75,1.16466
0.001,28,22,1.16333
0.001,28,22.25,1.16203
0.001,28,22.5,1.16077
0.001,28,22.75,1.15956
0.001,28,23,1.1584
0.001,28,23.25,1.1573
0.001,28,23.5,1.15627
0.001,28,23.75,1.15529
0.001,28,24,1.15431
0.001,28,24.25,1.15431
0.00112202,22,0,1.31928
0.00112202,22,0.25,1.30737
0.00112202,22,0.5,1.30472
0.00112202,22,0.75,1.3027
0.00112202,22,1,1.30076
0.00112202,22,1.25,1.29887
0.00112202,22,1.5,1.29702
0.00112202,22,1.75,1.29518
0.00112202,22,2,1.29335
0.00112202,22,2.25,1.29153
0.00112202,22,2.5,1.28972
0.00112202,22,2.75,1.28791
0.00112202,22,3,1.2861
0.00112202,22,3.25,1.28429
0.00112202,22,3.5,1.28248
0.00112202,22,3.75,1.28067
0.00112202,22,4,1.27886
0.00112202,22,4.25,1.27705
0.00112202,22,4.5,1.27525
0.00112202,22,4.75,1.27344
0.00112202,22,5,1.27164
0.00112202,22,5.25,1.26983
0.00112202,22,5.5,1.26803
0.00112202,22,5.75,1.26623
0.00112202,22,6,1.26442
