Prot,T,D,Growth
0.001,22,0,1.16215
0.001,22,0.25,1.1619
0.001,22,0.5,1.16149
0.001,22,0.75,1.16107
0.001,22,1,1.16065
0.001,22,1.25,1.16023
0.001,22,1.5,1.15981
0.001,22,1.75,1.1594
0.001,22,2,1.159
0.001,22,2.25,1.1586
0.001,22,2.5,1.1582
0.001,22,2.75,1.15779
0.001,22,3,1.15739
0.001,22,3.25,1.15699
0.001,22,3.5,1.15659
0.001,22,3.75,1.15619
0.001,22,4,1.15579
0.001,22,4.25,1.15539
0.001,22,4.5,1.15499
0.001,22,4.75,1.15459
0.001,22,5,1.15419
0.001,22,5.25,1.15379
0.001,22,5.5,1.15339
0.001,22,5.75,1.15298
0.001,22,6,1.15258
0.001,22,6.25,1.15218
0.001,22,6.5,1.15178
0.001,22,6.75,1.15138
0.001,22,7,1.15098
0.001,22,7.25,1.15058
0.001,22,7.5,1.15018
0.001,22,7.75,1.14978
0.001,22,8,1.14938
0.001,22,8.25,1.14898
0.001,22,8.5,1.14858
0.001,22,8.75,1.14818
0.001,22,9,1.14778
0.001,22,9.25,1.14738
0.001,22,9.5,1.14697
0.001,22,9.75,1.14657
0.001,22,10,1.14617
0.001,22,10.25,1.14577
0.001,22,10.5,1.14537
0.001,22,10.75,1.14497
0.001,22,11,1.14457
0.001,22,11.25,1.14417
0.001,22,11.5,1.14377
0.001,22,11.75,1.14337
0.001,22,12,1.14297
0.001,22,12.25,1.14257
0.001,22,12.5,1.14217
0.001,22,12.75,1.14177
0.001,22,13,1.14137
0.001,22,13.25,1.14096
0.001,22,13.5,1.14056
0.001,22,13.75,1.14016
0.001,22,14,1.13976
0.001,22,14.25,1.13936
0.001,22,14.5,1.13896
0.001,22,14.75,1.13856
0.001,22,15,1.13816
0.001,22,15.25,1.13776
0.001,22,15.5,1.13736
0.001,22,15.75,1.13696
0.001,22,16,1.13656
0.001,22,16.25,1.13616
0.001,22,16.5,1.13576
0.001,22,16.75,1.13536
0.001,22,17,1.13495
0.001,22,17.25,1.13455
0.001,22,17.5,1.13415
0.001,22,17.75,1.13375
0.001,22,18,1.13335
0.001,22,18.25,1.13295
0.001,22,18.5,1.13255
0.001,22,18.75,1.13215
0.001,22,19,1.13175
0.001,22,19.25,1.13135
0.001,22,19.5,1.13095
0.001,22,19.75,1.13055
0.001,22,20,1.13015
0.001,22,20.25,1.12975
0.001,22,20.5,1.12936
0.001,22,20.75,1.12896
0.001,22,21,1.12856
0.001,22,21.25,1.12817
0.001,22,21.5,1.12778
0.001,22,21.75,1.1274
0.001,22,22,1.12702
0.001,22,22.25,1.12664
0.001,22,22.5,1.12628
0.001,22,22.75,1.12592
0.001,22,23,1.12557
0.001,22,23.25,1.12522
0.001,22,23.5,1.12487
0.001,22,23.75,1.1245
0.001,22,24,1.12415
0.001,22,24.25,1.12412
0.001,28,0,1.27179
0.001,28,0.25,1.27054
0.001,28,0.5,1.26916
0.001,28,0.75,1.26776
0.001,28,1,1.26638
0.001,28,1.25,1.26504
0.001,28,1.5,1.26373
0.001,28,1.75,1.26244
0.001,28,2,1.26116
0.001,28,2.25,1.25989
0.001,28,2.5,1.25863
0.001,28,2.75,1.25737
0.001,28,3,1.25611
0.001,28,3.25,1.25485
0.001,28,3.5,1.25359
0.001,28,3.75,1.25234
0.001,28,4,1.25108
0.001,28,4.25,1.24982
0.001,28,4.5,1.24857
0.001,28,4.75,1.24731
0.001,28,5,1.24605
0.001,28,5.25,1.2448
0.001,28,5.5,1.24354
0.001,28,5.75,1.24228
0.001,28,6,1.24103
0.001,28,6.25,1.23977
0.001,28,6.5,1.23852
0.001,28,6.75,1.23726
0.001,28,7,1.236
0.001,28,7.25,1.23475
0.001,28,7.5,1.23349
0.001,28,7.75,1.23223
0.001,28,8,1.23098
0.001,28,8.25,1.22972
0.001,28,8.5,1.22847
0.001,28,8.75,1.22721
0.001,28,9,1.22595
0.001,28,9.25,1.2247
0.001,28,9.5,1.22344
0.001,28,9.75,1.22218
0.001,28,10,1.22093
0.001,28,10.25,1.21967
0.001,28,10.5,1.21841
0.001,28,10.75,1.21716
0.001,28,11,1.2159
0.001,28,11.25,1.21465
0.001,28,11.5,1.21339
0.001,28,11.75,1.21213
0.001,28,12,1.21088
0.001,28,12.25,1.20962
0.001,28,12.5,1.20836
0.001,28,12.75,1.20711
0.001,28,13,1.20585
0.001,28,13.25,1.20459
0.001,28,13.5,1.20334
0.001,28,13.75,1.20208
0.001,28,14,1.20083
0.001,28,14.25,1.19957
0.001,28,14.5,1.19831
0.001,28,14.75,1.19706
0.001,28,15,1.1958
0.001,28,15.25,1.19454
0.001,28,15.5,1.19329
0.001,28,15.75,1.19203
0.001,28,16,1.19078
0.001,28,16.25,1.18952
0.001,28,16.5,1.18826
0.001,28,16.75,1.18701
0.001,28,17,1.18575
0.001,28,17.25,1.18449
0.001,28,17.5,1.18324
