Prot,T,D,Growth
0.001,22,0,12.5965
0.001,22,0.25,10.4104
0.001,22,0.5,10.1265
0.001,22,0.75,9.99187
0.001,22,1,9.86935
0.001,22,1.25,9.74648
0.001,22,1.5,9.62095
0.001,22,1.75,9.49191
0.001,22,2,9.35899
0.001,22,2.25,9.22201
0.001,22,2.5,9.08108
0.001,22,2.75,8.93675
0.001,22,3,8.79012
0.001,22,3.25,8.6427
0.001,22,3.5,8.49611
0.001,22,3.75,8.35174
0.001,22,4,8.21062
0.001,22,4.25,8.07338
0.001,22,4.5,7.94027
0.001,22,4.75,7.81132
0.001,22,5,7.68639
0.001,22,5.25,7.56524
0.001,22,5.5,7.44758
0.001,22,5.75,7.33311
0.001,22,6,7.22154
0.001,22,6.25,7.1126
0.001,22,6.5,7.00601
0.001,22,6.75,6.90155
0.001,22,7,6.79901
0.001,22,7.25,6.69821
0.001,22,7.5,6.59899
0.001,22,7.75,6.50121
0.001,22,8,6.40476
0.001,22,8.25,6.30952
0.001,22,8.5,6.21541
0.001,22,8.75,6.12236
0.001,22,9,6.03031
0.001,22,9.25,5.9392
0.001,22,9.5,5.849
0.001,22,9.75,5.75967
0.001,22,10,5.67119
0.001,22,10.25,5.58353
0.001,22,10.5,5.49667
0.001,22,10.75,5.41062
0.001,22,11,5.32536
0.001,22,11.25,5.24089
0.001,22,11.5,5.15721
0.001,22,11.75,5.07432
0.001,22,12,4.99223
0.001,22,12.25,4.91095
0.001,22,12.5,4.83048
0.001,22,12.75,4.75084
0.001,22,13,4.67205
0.001,22,13.25,4.59411
0.001,22,13.5,4.51704
0.001,22,13.75,4.44085
0.001,22,14,4.36557
0.001,22,14.25,4.29122
0.001,22,14.5,4.2178
0.001,22,14.75,4.14534
0.001,22,15,4.07386
0.001,22,15.25,4.00338
0.001,22,15.5,3.93392
0.001,22,15.75,3.8655
0.001,22,16,3.79814
0.001,22,16.25,3.73186
0.001,22,16.5,3.66669
0.001,22,16.75,3.60263
0.001,22,17,3.53971
0.001,22,17.25,3.47794
0.001,22,17.5,3.41736
0.001,22,17.75,3.35797
0.001,22,18,3.29978
0.001,22,18.25,3.24282
0.001,22,18.5,3.1871
0.001,22,18.75,3.13263
0.001,22,19,3.07942
0.001,22,19.25,3.02747
0.001,22,19.5,2.9768
0.001,22,19.75,2.92741
0.001,22,20,2.87929
0.001,22,20.25,2.83244
0.001,22,20.5,2.78686
0.001,22,20.75,2.74252
0.001,22,21,2.69942
0.001,22,21.25,2.65752
0.001,22,21.5,2.61679
0.001,22,21.75,2.57715
0.001,22,22,2.53853
0.001,22,22.25,2.50079
0.001,22,22.5,2.46374
0.001,22,22.75,2.42707
0.001,22,23,2.39028
0.001,22,23.25,2.35249
0.001,22,23.5,2.31188
0.001,22,23.75,2.26364
0.001,22,24,2.17913
0.001,22,24.25,2.17942
0.001,28,0,13.1467
0.001,28,0.25,12.9773
0.001,28,0.5,12.8184
0.001,28,0.75,12.6682
0.001,28,1,12.524
0.001,28,1.25,12.383
0.001,28,1.5,12.2432
0.001,28,1.75,12.1035
0.001,28,2,11.9632
0.001,28,2.25,11.822
0.001,28,2.5,11.6801
0.001,28,2.75,11.5376
0.001,28,3,11.3947
0.001,28,3.25,11.2518
0.001,28,3.5,11.1089
0.001,28,3.75,10.9663
0.001,28,4,10.8243
0.001,28,4.25,10.6828
0.001,28,4.5,10.5421
0.001,28,4.75,10.4022
0.001,28,5,10.2633
0.001,28,5.25,10.1254
0.001,28,5.5,9.98863
0.001,28,5.75,9.85303
0.001,28,6,9.71862
0.001,28,6.25,9.58545
0.001,28,6.5,9.45353
0.001,28,6.75,9.32288
0.001,28,7,9.19348
0.001,28,7.25,9.06535
0.001,28,7.5,8.93846
0.001,28,7.75,8.8128
0.001,28,8,8.68835
0.001,28,8.25,8.56507
0.001,28,8.5,8.44296
0.001,28,8.75,8.32196
0.001,28,9,8.20206
0.001,28,9.25,8.08323
0.001,28,9.5,7.96542
0.001,28,9.75,7.84861
0.001,28,10,7.73277
0.001,28,10.25,7.61787
0.001,28,10.5,7.50387
0.001,28,10.75,7.39076
0.001,28,11,7.2785
0.001,28,11.25,7.16707
0.001,28,11.5,7.05645
0.001,28,11.75,6.94662
0.001,28,12,6.83757
0.001,28,12.25,6.72926
0.001,28,12.5,6.6217
0.001,28,12.75,6.51486
0.001,28,13,6.40875
0.001,28,13.25,6.30334
0.001,28,13.5,6.19864
0.001,28,13.75,6.09464
0.001,28,14,5.99135
0.001,28,14.25,5.88875
0.001,28,14.5,5.78686
0.001,28,14.75,5.68569
