Prot,T,D,Growth
0.001,22,0,4.07155
0.001,22,0.25,3.10431
0.001,22,0.5,3.01995
0.001,22,0.75,2.97515
0.001,22,1,2.93067
0.001,22,1.25,2.88194
0.001,22,1.5,2.82798
0.001,22,1.75,2.76994
0.001,22,2,2.71095
0.001,22,2.25,2.65498
0.001,22,2.5,2.60517
0.001,22,2.75,2.56257
0.001,22,3,2.52639
0.001,22,3.25,2.49496
0.001,22,3.5,2.46669
0.001,22,3.75,2.44039
0.001,22,4,2.41528
0.001,22,4.25,2.39093
0.001,22,4.5,2.36707
0.001,22,4.75,2.34357
0.001,22,5,2.32035
0.001,22,5.25,2.29737
0.001,22,5.5,2.27461
0.001,22,5.75,2.25205
0.001,22,6,2.22969
0.001,22,6.25,2.20752
0.001,22,6.5,2.18555
0.001,22,6.75,2.16377
0.001,22,7,2.14219
0.001,22,7.25,2.12081
0.001,22,7.5,2.09963
0.001,22,7.75,2.07866
0.001,22,8,2.05789
0.001,22,8.25,2.03733
0.001,22,8.5,2.01698
0.001,22,8.75,1.99685
0.001,22,9,1.97694
0.001,22,9.25,1.95726
0.001,22,9.5,1.9378
0.001,22,9.75,1.91856
0.001,22,10,1.89956
0.001,22,10.25,1.8808
0.001,22,10.5,1.86227
0.001,22,10.75,1.84399
0.001,22,11,1.82595
0.001,22,11.25,1.80815
0.001,22,11.5,1.79061
0.001,22,11.75,1.77333
0.001,22,12,1.7563
0.001,22,12.25,1.73953
0.001,22,12.5,1.72302
0.001,22,12.75,1.70678
0.001,22,13,1.69081
0.001,22,13.25,1.67511
0.001,22,13.5,1.65968
0.001,22,13.75,1.64453
0.001,22,14,1.62967
0.001,22,14.25,1.61508
0.001,22,14.5,1.60079
0.001,22,14.75,1.58678
0.001,22,15,1.57306
0.001,22,15.25,1.55963
0.001,22,15.5,1.5465
0.001,22,15.75,1.53367
0.001,22,16,1.52113
0.001,22,16.25,1.5089
0.001,22,16.5,1.49698
0.001,22,16.75,1.48536
0.001,22,17,1.47404
0.001,22,17.25,1.46304
0.001,22,17.5,1.45235
0.001,22,17.75,1.44197
0.001,22,18,1.4319
0.001,22,18.25,1.42215
0.001,22,18.5,1.41272
0.001,22,18.75,1.40361
0.001,22,19,1.39482
0.001,22,19.25,1.38634
0.001,22,19.5,1.37819
0.001,22,19.75,1.37036
0.001,22,20,1.36286
0.001,22,20.25,1.35568
0.001,22,20.5,1.34882
0.001,22,20.75,1.34229
0.001,22,21,1.33608
0.001,22,21.25,1.33019
0.001,22,21.5,1.32461
0.001,22,21.75,1.31934
0.001,22,22,1.31437
0.001,22,22.25,1.30966
0.001,22,22.5,1.30519
0.001,22,22.75,1.30089
0.001,22,23,1.29668
0.001,22,23.25,1.29236
0.001,22,23.5,1.28756
0.001,22,23.75,1.28107
0.001,22,24,1.266
0.001,22,24.25,1.26617
0.001,28,0,5.07668
0.001,28,0.25,4.85157
0.001,28,0.5,4.66897
0.001,28,0.75,4.51087
0.001,28,1,4.3657
0.001,28,1.25,4.22716
0.001,28,1.5,4.09323
0.001,28,1.75,3.96517
0.001,28,2,3.84582
0.001,28,2.25,3.73785
0.001,28,2.5,3.64252
0.001,28,2.75,3.55953
0.001,28,3,3.48748
0.001,28,3.25,3.42449
0.001,28,3.5,3.36868
0.001,28,3.75,3.31838
0.001,28,4,3.27223
0.001,28,4.25,3.22917
0.001,28,4.5,3.18841
0.001,28,4.75,3.14936
0.001,28,5,3.11159
0.001,28,5.25,3.07479
0.001,28,5.5,3.03872
0.001,28,5.75,3.00324
0.001,28,6,2.96822
0.001,28,6.25,2.9336
0.001,28,6.5,2.8993
0.001,28,6.75,2.8653
0.001,28,7,2.83157
0.001,28,7.25,2.79809
