Prot,T,D,Growth
0.001,22,0,12.5965
0.001,22,0.25,12.6007
0.001,22,0.5,12.6041
0.001,22,0.75,12.6082
0.001,22,1,12.6092
0.001,22,1.25,12.6037
0.001,22,1.5,12.5895
0.001,22,1.75,12.5656
0.001,22,2,12.5313
0.001,22,2.25,12.4861
0.001,22,2.5,12.4297
0.001,22,2.75,12.3616
0.001,22,3,12.2821
0.001,22,3.25,12.1919
0.001,22,3.5,12.0924
0.001,22,3.75,11.9852
0.001,22,4,11.8717
0.001,22,4.25,11.7533
0.001,22,4.5,11.6314
0.001,22,4.75,11.5069
0.001,22,5,11.3806
0.001,22,5.25,11.2532
0.001,22,5.5,11.1252
0.001,22,5.75,10.997
0.001,22,6,10.869
0.001,22,6.25,10.7415
0.001,22,6.5,10.6147
0.001,22,6.75,10.4887
0.001,22,7,10.3637
0.001,22,7.25,10.2398
0.001,22,7.5,10.1171
0.001,22,7.75,9.99561
0.001,22,8,9.87534
0.001,22,8.25,9.75633
0.001,22,8.5,9.63859
0.001,22,8.75,9.5221
0.001,22,9,9.40685
0.001,22,9.25,9.29281
0.001,22,9.5,9.17996
0.001,22,9.75,9.06826
0.001,22,10,8.95768
0.001,22,10.25,8.84818
0.001,22,10.5,8.73973
0.001,22,10.75,8.63227
0.001,22,11,8.52579
0.001,22,11.25,8.42023
0.001,22,11.5,8.31555
0.001,22,11.75,8.21173
0.001,22,12,8.10873
0.001,22,12.25,8.00651
0.001,22,12.5,7.90504
0.001,22,12.75,7.80429
0.001,22,13,7.70423
0.001,22,13.25,7.60484
0.001,22,13.5,7.50608
0.001,22,13.75,7.40793
0.001,22,14,7.31037
0.001,22,14.25,7.21338
0.001,22,14.5,7.11694
0.001,22,14.75,7.02103
0.001,22,15,6.92564
0.001,22,15.25,6.83074
0.001,22,15.5,6.73633
0.001,22,15.75,6.64239
0.001,22,16,6.54892
0.001,22,16.25,6.45589
0.001,22,16.5,6.36331
0.001,22,16.75,6.27117
0.001,22,17,6.17945
0.001,22,17.25,6.08815
0.001,22,17.5,5.99728
0.001,22,17.75,5.90682
0.001,22,18,5.81677
0.001,22,18.25,5.72713
0.001,22,18.5,5.63789
0.001,22,18.75,5.54907
0.001,22,19,5.46065
0.001,22,19.25,5.37264
0.001,22,19.5,5.28503
0.001,22,19.75,5.19783
0.001,22,20,5.11103
0.001,22,20.25,5.02464
0.001,22,20.5,4.93863
0.001,22,20.75,4.853
0.001,22,21,4.76772
0.001,22,21.25,4.68275
0.001,22,21.5,4.59801
0.001,22,21.75,4.5134
0.001,22,22,4.42872
0.001,22,22.25,4.34369
0.001,22,22.5,4.25781
0.001,22,22.75,4.17029
0.001,22,23,4.07978
0.001,22,23.25,3.98378
0.001,22,23.5,3.87712
0.001,22,23.75,3.74559
0.001,22,24,3.46358
0.001,22,24.25,3.46366
0.001,28,0,13.1467
0.001,28,0.25,13.1359
0.001,28,0.5,13.1209
0.001,28,0.75,13.1014
0.001,28,1,13.077
0.001,28,1.25,13.0477
0.001,28,1.5,13.0137
0.001,28,1.75,12.9755
0.001,28,2,12.9335
0.001,28,2.25,12.8885
0.001,28,2.5,12.8409
0.001,28,2.75,12.7912
0.001,28,3,12.7398
0.001,28,3.25,12.6869
0.001,28,3.5,12.6329
0.001,28,3.75,12.5778
0.001,28,4,12.5218
0.001,28,4.25,12.465
0.001,28,4.5,12.4074
0.001,28,4.75,12.349
0.001,28,5,12.29
0.001,28,5.25,12.2304
0.001,28,5.5,12.1701
0.001,28,5.75,12.1091
0.001,28,6,12.0476
0.001,28,6.25,11.9856
0.001,28,6.5,11.9229
0.001,28,6.75,11.8597
0.001,28,7,11.796
0.001,28,7.25,11.7317
0.001,28,7.5,11.667
0.001,28,7.75,11.6017
0.001,28,8,11.536
0.001,28,8.25,11.4697
0.001,28,8.5,11.403
0.001,28,8.75,11.3359
0.001,28,9,11.2683
0.001,28,9.25,11.2002
0.001,28,9.5,11.1317
0.001,28,9.75,11.0628
0.001,28,10,10.9935
0.001,28,10.25,10.9238
0.001,28,10.5,10.8537
0.001,28,10.75,10.7832
0.001,28,11,10.7123
0.001,28,11.25,10.6411
0.001,28,11.5,10.5695
0.001,28,11.75,10.4975
0.001,28,12,10.4252
0.001,28,12.25,10.3526
0.001,28,12.5,10.2796
0.001,28,12.75,10.2063
0.001,28,13,10.1327
0.001,28,13.25,10.0588
0.001,28,13.5,9.98459
0.001,28,13.75,9.9101
