Prot,T,D,Growth
0.001,22,0,11.2096
0.001,22,0.25,11.2007
0.001,22,0.5,11.1876
0.001,22,0.75,11.1689
0.001,22,1,11.1424
0.001,22,1.25,11.1066
0.001,22,1.5,11.0606
0.001,22,1.75,11.0034
0.001,22,2,10.9339
0.001,22,2.25,10.8502
0.001,22,2.5,10.7509
0.001,22,2.75,10.635
0.001,22,3,10.5027
0.001,22,3.25,10.3556
0.001,22,3.5,10.1962
0.001,22,3.75,10.0273
0.001,22,4,9.85186
0.001,22,4.25,9.67239
0.001,22,4.5,9.49097
0.001,22,4.75,9.30922
0.001,22,5,9.1284
0.001,22,5.25,8.94946
0.001,22,5.5,8.7731
0.001,22,5.75,8.59982
0.001,22,6,8.42999
0.001,22,6.25,8.26385
0.001,22,6.5,8.10155
0.001,22,6.75,7.94317
0.001,22,7,7.78873
0.001,22,7.25,7.63821
0.001,22,7.5,7.49155
0.001,22,7.75,7.34868
0.001,22,8,7.20948
0.001,22,8.25,7.07384
0.001,22,8.5,6.94163
0.001,22,8.75,6.81273
0.001,22,9,6.68698
0.001,22,9.25,6.56426
0.001,22,9.5,6.44442
0.001,22,9.75,6.32733
0.001,22,10,6.21285
0.001,22,10.25,6.10087
0.001,22,10.5,5.99124
0.001,22,10.75,5.88387
0.001,22,11,5.77862
0.001,22,11.25,5.6754
0.001,22,11.5,5.57411
0.001,22,11.75,5.47465
0.001,22,12,5.37692
0.001,22,12.25,5.28085
0.001,22,12.5,5.18635
0.001,22,12.75,5.09336
0.001,22,13,5.0018
0.001,22,13.25,4.91161
0.001,22,13.5,4.82273
0.001,22,13.75,4.73511
0.001,22,14,4.6487
0.001,22,14.25,4.56345
0.001,22,14.5,4.47932
0.001,22,14.75,4.39628
0.001,22,15,4.31428
0.001,22,15.25,4.2333
0.001,22,15.5,4.15331
0.001,22,15.75,4.07428
0.001,22,16,3.99619
0.001,22,16.25,3.91902
0.001,22,16.5,3.84275
0.001,22,16.75,3.76738
0.001,22,17,3.69287
0.001,22,17.25,3.61924
0.001,22,17.5,3.54646
0.001,22,17.75,3.47453
0.001,22,18,3.40345
0.001,22,18.25,3.3332
0.001,22,18.5,3.2638
0.001,22,18.75,3.19524
0.001,22,19,3.12752
0.001,22,19.25,3.06064
0.001,22,19.5,2.99462
0.001,22,19.75,2.92944
0.001,22,20,2.86512
0.001,22,20.25,2.80165
0.001,22,20.5,2.73906
0.001,22,20.75,2.67732
0.001,22,21,2.61645
0.001,22,21.25,2.55643
0.001,22,21.5,2.49724
0.001,22,21.75,2.43884
0.001,22,22,2.38116
0.001,22,22.25,2.32409
0.001,22,22.5,2.26743
0.001,22,22.75,2.21086
0.001,22,23,2.15383
0.001,22,23.25,2.09538
0.001,22,23.5,2.03353
0.001,22,23.75,1.96341
0.001,22,24,1.83892
0.001,22,24.25,1.83814
0.001,28,0,12.7757
0.001,28,0.25,12.7648
0.001,28,0.5,12.7498
0.001,28,0.75,12.7302
0.001,28,1,12.7056
0.001,28,1.25,12.6758
0.001,28,1.5,12.6411
0.001,28,1.75,12.602
0.001,28,2,12.5588
0.001,28,2.25,12.5122
0.001,28,2.5,12.4629
0.001,28,2.75,12.4113
0.001,28,3,12.3578
0.001,28,3.25,12.3028
0.001,28,3.5,12.2465
0.001,28,3.75,12.1892
0.001,28,4,12.1308
0.001,28,4.25,12.0716
0.001,28,4.5,12.0116
0.001,28,4.75,11.9509
0.001,28,5,11.8894
0.001,28,5.25,11.8273
0.001,28,5.5,11.7645
0.001,28,5.75,11.7011
0.001,28,6,11.6371
0.001,28,6.25,11.5726
0.001,28,6.5,11.5074
0.001,28,6.75,11.4417
0.001,28,7,11.3755
0.001,28,7.25,11.3087
0.001,28,7.5,11.2414
0.001,28,7.75,11.1737
0.001,28,8,11.1054
0.001,28,8.25,11.0367
0.001,28,8.5,10.9675
0.001,28,8.75,10.8979
0.001,28,9,10.8279
0.001,28,9.25,10.7574
0.001,28,9.5,10.6865
0.001,28,9.75,10.6153
0.001,28,10,10.5436
0.001,28,10.25,10.4716
0.001,28,10.5,10.3992
0.001,28,10.75,10.3264
0.001,28,11,10.2533
0.001,28,11.25,10.1799
0.001,28,11.5,10.1062
0.001,28,11.75,10.0321
0.001,28,12,9.95773
0.001,28,12.25,9.88307
0.001,28,12.5,9.80813
0.001,28,12.75,9.73292
0.001,28,13,9.65745
0.001,28,13.25,9.58172
0.001,28,13.5,9.50574
0.001,28,13.75,9.42953
0.001,28,14,9.35309
0.001,28,14.25,9.27643
0.001,28,14.5,9.19957
0.001,28,14.75,9.1225
0.001,28,15,9.04524
0.001,28,15.25,8.96779
0.001,28,15.5,8.89017
0.001,28,15.75,8.81239
0.001,28,16,8.73444
0.001,28,16.25,8.65634
0.001,28,16.5,8.5781
0.001,28,16.75,8.49972
0.001,28,17,8.42122
0.001,28,17.25,8.34259
0.001,28,17.5,8.26385
0.001,28,17.75,8.185
0.001,28,18,8.10606
0.001,28,18.25,8.02702
0.001,28,18.5,7.9479
0.001,28,18.75,7.8687
0.001,28,19,7.78943
0.001,28,19.25,7.71009
0.001,28,19.5,7.63069
0.001,28,19.75,7.55124
0.001,28,20,7.47173
0.001,28,20.25,7.39216
0.001,28,20.5,7.31254
0.001,28,20.75,7.23285
0.001,28,21,7.15307
0.001,28,21.25,7.07316
0.001,28,21.5,6.99307
0.001,28,21.75,6.91271
0.001,28,22,6.8319
0.001,28,22.25,6.7504
0.001,28,22.5,6.66778
0.001,28,22.75,6.58332
0.001,28,23,6.49576
0.001,28,23.25,6.40269
0.001,28,23.5,6.29902
0.001,28,23.75,6.17072
0.001,28,24,5.92392
0.001,28,24.25,5.92376
0.00112202,22,0,11.2096
0.00112202,22,0.25,11.2003
0.00112202,22,0.5,11.1872
0.00112202,22,0.75,11.1685
0.00112202,22,1,11.1419
0.00112202,22,1.25,11.1061
0.00112202,22,1.5,11.0601
0.00112202,22,1.75,11.0029
0.00112202,22,2,10.9333
0.00112202,22,2.25,10.8496
0.00112202,22,2.5,10.7502
0.00112202,22,2.75,10.6343
0.00112202,22,3,10.502
0.00112202,22,3.25,10.3549
0.00112202,22,3.5,10.1954
0.00112202,22,3.75,10.0265
0.00112202,22,4,9.85108
0.00112202,22,4.25,9.6716
0.00112202,22,4.5,9.49016
