Prot,T,D,Growth
0.001,22,0,2.83178
0.001,22,0.25,2.81711
0.001,22,0.5,2.79338
0.001,22,0.75,2.75966
0.001,22,1,2.71232
0.001,22,1.25,2.64869
0.001,22,1.5,2.56862
0.001,22,1.75,2.4762
0.001,22,2,2.3799
0.001,22,2.25,2.29003
0.001,22,2.5,2.2144
0.001,22,2.75,2.15568
0.001,22,3,2.11197
0.001,22,3.25,2.07935
0.001,22,3.5,2.05392
0.001,22,3.75,2.03279
0.001,22,4,2.01411
0.001,22,4.25,1.99679
0.001,22,4.5,1.98024
0.001,22,4.75,1.96414
0.001,22,5,1.94831
0.001,22,5.25,1.93267
0.001,22,5.5,1.91718
0.001,22,5.75,1.9018
0.001,22,6,1.88652
0.001,22,6.25,1.87133
0.001,22,6.5,1.85624
0.001,22,6.75,1.84124
0.001,22,7,1.82634
0.001,22,7.25,1.81152
0.001,22,7.5,1.79679
0.001,22,7.75,1.78216
0.001,22,8,1.76763
0.001,22,8.25,1.75319
0.001,22,8.5,1.73885
0.001,22,8.75,1.72461
0.001,22,9,1.71048
0.001,22,9.25,1.69645
0.001,22,9.5,1.68253
0.001,22,9.75,1.66871
0.001,22,10,1.65501
0.001,22,10.25,1.64142
0.001,22,10.5,1.62794
0.001,22,10.75,1.61458
0.001,22,11,1.60135
0.001,22,11.25,1.58823
0.001,22,11.5,1.57524
0.001,22,11.75,1.56237
0.001,22,12,1.54964
0.001,22,12.25,1.53704
0.001,22,12.5,1.52457
0.001,22,12.75,1.51224
0.001,22,13,1.50005
0.001,22,13.25,1.488
0.001,22,13.5,1.4761
0.001,22,13.75,1.46434
0.001,22,14,1.45274
0.001,22,14.25,1.44129
0.001,22,14.5,1.43
0.001,22,14.75,1.41887
0.001,22,15,1.40791
0.001,22,15.25,1.39711
0.001,22,15.5,1.38649
0.001,22,15.75,1.37603
0.001,22,16,1.36576
0.001,22,16.25,1.35567
0.001,22,16.5,1.34576
0.001,22,16.75,1.33604
0.001,22,17,1.32652
0.001,22,17.25,1.31719
0.001,22,17.5,1.30806
0.001,22,17.75,1.29914
0.001,22,18,1.29043
0.001,22,18.25,1.28193
0.001,22,18.5,1.27365
0.001,22,18.75,1.2656
0.001,22,19,1.25777
0.001,22,19.25,1.25017
0.001,22,19.5,1.24281
0.001,22,19.75,1.23569
0.001,22,20,1.22882
0.001,22,20.25,1.22221
0.001,22,20.5,1.21585
0.001,22,20.75,1.20974
0.001,22,21,1.20391
0.001,22,21.25,1.19834
0.001,22,21.5,1.19305
0.001,22,21.75,1.18802
0.001,22,22,1.18326
0.001,22,22.25,1.17877
0.001,22,22.5,1.17452
0.001,22,22.75,1.17049
0.001,22,23,1.16664
0.001,22,23.25,1.16288
0.001,22,23.5,1.15901
0.001,22,23.75,1.15452
0.001,22,24,1.1464
0.001,22,24.25,1.14635
0.001,28,0,4.67961
0.001,28,0.25,4.64691
0.001,28,0.5,4.60155
0.001,28,0.75,4.54079
0.001,28,1,4.4616
0.001,28,1.25,4.36268
0.001,28,1.5,4.24592
0.001,28,1.75,4.11689
0.001,28,2,3.98361
0.001,28,2.25,3.85414
0.001,28,2.5,3.73444
0.001,28,2.75,3.62756
0.001,28,3,3.53408
0.001,28,3.25,3.45299
0.001,28,3.5,3.38257
0.001,28,3.75,3.32091
0.001,28,4,3.26625
