Prot,T,D,Growth
0.001,22,0,13.1679
0.001,22,0.25,13.1528
0.001,22,0.5,13.1335
0.001,22,0.75,13.1087
0.001,22,1,13.0777
0.001,22,1.25,13.0401
0.001,22,1.5,12.9955
0.001,22,1.75,12.9437
0.001,22,2,12.8845
0.001,22,2.25,12.8173
0.001,22,2.5,12.7415
0.001,22,2.75,12.6564
0.001,22,3,12.5618
0.001,22,3.25,12.4581
0.001,22,3.5,12.3459
0.001,22,3.75,12.2263
0.001,22,4,12.1003
0.001,22,4.25,11.9691
0.001,22,4.5,11.8336
0.001,22,4.75,11.6945
0.001,22,5,11.5528
0.001,22,5.25,11.4089
0.001,22,5.5,11.2633
0.001,22,5.75,11.1167
0.001,22,6,10.9693
0.001,22,6.25,10.8216
0.001,22,6.5,10.6737
0.001,22,6.75,10.526
0.001,22,7,10.3788
0.001,22,7.25,10.2321
0.001,22,7.5,10.0861
0.001,22,7.75,9.94106
0.001,22,8,9.79699
0.001,22,8.25,9.654
0.001,22,8.5,9.51215
0.001,22,8.75,9.37151
0.001,22,9,9.2321
0.001,22,9.25,9.09396
0.001,22,9.5,8.95709
0.001,22,9.75,8.82151
0.001,22,10,8.6872
0.001,22,10.25,8.55415
0.001,22,10.5,8.42236
0.001,22,10.75,8.29179
0.001,22,11,8.16243
0.001,22,11.25,8.03424
0.001,22,11.5,7.9072
0.001,22,11.75,7.78126
0.001,22,12,7.65641
0.001,22,12.25,7.53261
0.001,22,12.5,7.40983
0.001,22,12.75,7.28803
0.001,22,13,7.16719
0.001,22,13.25,7.04727
0.001,22,13.5,6.92824
0.001,22,13.75,6.81008
0.001,22,14,6.69276
0.001,22,14.25,6.57626
0.001,22,14.5,6.46054
0.001,22,14.75,6.34561
0.001,22,15,6.23142
0.001,22,15.25,6.11797
0.001,22,15.5,6.00524
0.001,22,15.75,5.89322
0.001,22,16,5.7819
0.001,22,16.25,5.67126
0.001,22,16.5,5.56129
0.001,22,16.75,5.452
0.001,22,17,5.34338
0.001,22,17.25,5.23543
0.001,22,17.5,5.12814
0.001,22,17.75,5.02152
0.001,22,18,4.91558
0.001,22,18.25,4.81031
0.001,22,18.5,4.70573
0.001,22,18.75,4.60184
0.001,22,19,4.49866
0.001,22,19.25,4.3962
0.001,22,19.5,4.29448
0.001,22,19.75,4.19351
0.001,22,20,4.09331
0.001,22,20.25,3.99389
0.001,22,20.5,3.89528
0.001,22,20.75,3.79748
0.001,22,21,3.70051
0.001,22,21.25,3.60436
0.001,22,21.5,3.50901
0.001,22,21.75,3.41443
0.001,22,22,3.32051
0.001,22,22.25,3.22711
0.001,22,22.5,3.13393
0.001,22,22.75,3.04051
0.001,22,23,2.94601
0.001,22,23.25,2.84887
0.001,22,23.5,2.74596
0.001,22,23.75,2.62906
0.001,22,24,2.41511
0.001,22,24.25,2.41511
0.001,28,0,13.1679
0.001,28,0.25,13.1564
0.001,28,0.5,13.1408
0.001,28,0.75,13.1206
0.001,28,1,13.0956
0.001,28,1.25,13.0658
0.001,28,1.5,13.0313
0.001,28,1.75,12.9926
0.001,28,2,12.9502
0.001,28,2.25,12.9048
0.001,28,2.5,12.8568
0.001,28,2.75,12.8067
0.001,28,3,12.7549
0.001,28,3.25,12.7016
0.001,28,3.5,12.6472
0.001,28,3.75,12.5918
0.001,28,4,12.5354
0.001,28,4.25,12.4782
0.001,28,4.5,12.4202
0.001,28,4.75,12.3614
0.001,28,5,12.302
0.001,28,5.25,12.2419
0.001,28,5.5,12.1812
0.001,28,5.75,12.1199
0.001,28,6,12.0579
0.001,28,6.25,11.9954
0.001,28,6.5,11.9323
0.001,28,6.75,11.8687
0.001,28,7,11.8045
0.001,28,7.25,11.7397
0.001,28,7.5,11.6745
0.001,28,7.75,11.6087
0.001,28,8,11.5425
0.001,28,8.25,11.4757
0.001,28,8.5,11.4085
0.001,28,8.75,11.3408
0.001,28,9,11.2727
0.001,28,9.25,11.2041
0.001,28,9.5,11.135
0.001,28,9.75,11.0656
0.001,28,10,10.9957
0.001,28,10.25,10.9254
0.001,28,10.5,10.8547
0.001,28,10.75,10.7836
0.001,28,11,10.7121
0.001,28,11.25,10.6402
0.001,28,11.5,10.568
0.001,28,11.75,10.4954
0.001,28,12,10.4224
0.001,28,12.25,10.3491
0.001,28,12.5,10.2755
0.001,28,12.75,10.2015
0.001,28,13,10.1272
0.001,28,13.25,10.0526
0.001,28,13.5,9.97774
0.001,28,13.75,9.90254
0.001,28,14,9.82705
0.001,28,14.25,9.75128
0.001,28,14.5,9.67524
0.001,28,14.75,9.59893
0.001,28,15,9.52236
0.001,28,15.25,9.44553
0.001,28,15.5,9.36846
0.001,28,15.75,9.29116
0.001,28,16,9.21362
0.001,28,16.25,9.13586
0.001,28,16.5,9.05788
0.001,28,16.75,8.97969
0.001,28,17,8.9013
0.001,28,17.25,8.82271
0.001,28,17.5,8.74393
0.001,28,17.75,8.66497
0.001,28,18,8.58584
0.001,28,18.25,8.50653
0.001,28,18.5,8.42706
0.001,28,18.75,8.34743
0.001,28,19,8.26765
0.001,28,19.25,8.18772
0.001,28,19.5,8.10765
0.001,28,19.75,8.02744
0.001,28,20,7.94709
0.001,28,20.25,7.86661
0.001,28,20.5,7.78598
0.001,28,20.75,7.7052
0.001,28,21,7.62424
0.001,28,21.25,7.54307
0.001,28,21.5,7.46163
0.001,28,21.75,7.37981
0.001,28,22,7.29747
0.001,28,22.25,7.21432
0.001,28,22.5,7.12994
0.001,28,22.75,7.04358
0.001,28,23,6.95395
0.001,28,23.25,6.85859
0.001,28,23.5,6.75222
0.001,28,23.75,6.62035
0.001,28,24,6.36497
0.001,28,24.25,6.36497
0.00112202,22,0,13.1679
0.00112202,22,0.25,13.1527
0.00112202,22,0.5,13.1334
0.00112202,22,0.75,13.1086
0.00112202,22,1,13.0775
0.00112202,22,1.25,13.0398
0.00112202,22,1.5,12.9952
0.00112202,22,1.75,12.9435
0.00112202,22,2,12.8843
0.00112202,22,2.25,12.8171
0.00112202,22,2.5,12.7412
0.00112202,22,2.75,12.6561
0.00112202,22,3,12.5615
0.00112202,22,3.25,12.4577
0.00112202,22,3.5,12.3455
0.00112202,22,3.75,12.2259
0.00112202,22,4,12.0999
0.00112202,22,4.25,11.9686
0.00112202,22,4.5,11.8331
0.00112202,22,4.75,11.694
0.00112202,22,5,11.5522
0.00112202,22,5.25,11.4083
0.00112202,22,5.5,11.2628
0.00112202,22,5.75,11.1162
0.00112202,22,6,10.9688
0.00112202,22,6.25,10.821
0.00112202,22,6.5,10.6731
0.00112202,22,6.75,10.5255
0.00112202,22,7,10.3782
0.00112202,22,7.25,10.2315
0.00112202,22,7.5,10.0855
0.00112202,22,7.75,9.94045
0.00112202,22,8,9.79638
0.00112202,22,8.25,9.65338
0.00112202,22,8.5,9.51154
0.00112202,22,8.75,9.37089
0.00112202,22,9,9.23149
0.00112202,22,9.25,9.09335
0.00112202,22,9.5,8.95648
0.00112202,22,9.75,8.8209
0.00112202,22,10,8.6866
0.00112202,22,10.25,8.55356
0.00112202,22,10.5,8.42177
0.00112202,22,10.75,8.2912
0.00112202,22,11,8.16184
0.00112202,22,11.25,8.03366
0.00112202,22,11.5,7.90662
0.00112202,22,11.75,7.78069
0.00112202,22,12,7.65585
0.00112202,22,12.25,7.53205
0.00112202,22,12.5,7.40927
0.00112202,22,12.75,7.28748
0.00112202,22,13,7.16664
0.00112202,22,13.25,7.04672
0.00112202,22,13.5,6.9277
0.00112202,22,13.75,6.80954
0.00112202,22,14,6.69223
0.00112202,22,14.25,6.57573
0.00112202,22,14.5,6.46003
0.00112202,22,14.75,6.34509
0.00112202,22,15,6.23091
0.00112202,22,15.25,6.11747
0.00112202,22,15.5,6.00474
0.00112202,22,15.75,5.89273
0.00112202,22,16,5.78141
0.00112202,22,16.25,5.67077
0.00112202,22,16.5,5.56081
0.00112202,22,16.75,5.45153
0.00112202,22,17,5.34291
0.00112202,22,17.25,5.23497
0.00112202,22,17.5,5.12768
0.00112202,22,17.75,5.02107
0.00112202,22,18,4.91513
0.00112202,22,18.25,4.80987
0.00112202,22,18.5,4.70529
0.00112202,22,18.75,4.60141
0.00112202,22,19,4.49824
0.00112202,22,19.25,4.39579
0.00112202,22,19.5,4.29407
0.00112202,22,19.75,4.19311
0.00112202,22,20,4.09292
0.00112202,22,20.25,3.99351
0.00112202,22,20.5,3.8949
0.00112202,22,20.75,3.79711
0.00112202,22,21,3.70014
0.00112202,22,21.25,3.604
0.00112202,22,21.5,3.50867
0.00112202,22,21.75,3.41409
0.00112202,22,22,3.32018
0.00112202,22,22.25,3.22679
0.00112202,22,22.5,3.13362
0.00112202,22,22.75,3.04021
0.00112202,22,23,2.94572
0.00112202,22,23.25,2.8486
0.00112202,22,23.5,2.7457
0.00112202,22,23.75,2.62883
0.00112202,22,24,2.41492
0.00112202,22,24.25,2.41492
0.00112202,28,0,13.1679
0.00112202,28,0.25,13.1564
0.00112202,28,0.5,13.1407
0.00112202,28,0.75,13.1206
0.00112202,28,1,13.0956
0.00112202,28,1.25,13.0657
0.00112202,28,1.5,13.0312
0.00112202,28,1.75,12.9925
0.00112202,28,2,12.9501
0.00112202,28,2.25,12.9047
0.00112202,28,2.5,12.8567
0.00112202,28,2.75,12.8066
0.00112202,28,3,12.7547
0.00112202,28,3.25,12.7015
0.00112202,28,3.5,12.6471
0.00112202,28,3.75,12.5916
0.00112202,28,4,12.5352
0.00112202,28,4.25,12.478
0.00112202,28,4.5,12.42
0.00112202,28,4.75,12.3612
0.00112202,28,5,12.3018
0.00112202,28,5.25,12.2417
0.00112202,28,5.5,12.181
0.00112202,28,5.75,12.1196
0.00112202,28,6,12.0576
0.00112202,28,6.25,11.9951
0.00112202,28,6.5,11.932
0.00112202,28,6.75,11.8683
0.00112202,28,7,11.8041
0.00112202,28,7.25,11.7394
0.00112202,28,7.5,11.6741
0.00112202,28,7.75,11.6083
0.00112202,28,8,11.5421
0.00112202,28,8.25,11.4753
0.00112202,28,8.5,11.4081
0.00112202,28,8.75,11.3403
0.00112202,28,9,11.2722
0.00112202,28,9.25,11.2036
0.00112202,28,9.5,11.1345
0.00112202,28,9.75,11.065
0.00112202,28,10,10.9951
0.00112202,28,10.25,10.9248
0.00112202,28,10.5,10.8541
0.00112202,28,10.75,10.7829
0.00112202,28,11,10.7114
0.00112202,28,11.25,10.6396
0.00112202,28,11.5,10.5673
0.00112202,28,11.75,10.4947
0.00112202,28,12,10.4217
0.00112202,28,12.25,10.3484
0.00112202,28,12.5,10.2747
0.00112202,28,12.75,10.2008
0.00112202,28,13,10.1265
0.00112202,28,13.25,10.0519
0.00112202,28,13.5,9.97693
0.00112202,28,13.75,9.90171
0.00112202,28,14,9.82621
0.00112202,28,14.25,9.75042
0.00112202,28,14.5,9.67436
0.00112202,28,14.75,9.59803
0.00112202,28,15,9.52144
0.00112202,28,15.25,9.4446
0.00112202,28,15.5,9.36751
0.00112202,28,15.75,9.29019
0.00112202,28,16,9.21263
0.00112202,28,16.25,9.13485
0.00112202,28,16.5,9.05686
0.00112202,28,16.75,8.97865
0.00112202,28,17,8.90024
0.00112202,28,17.25,8.82164
0.00112202,28,17.5,8.74285
0.00112202,28,17.75,8.66387
0.00112202,28,18,8.58472
0.00112202,28,18.25,8.50539
0.00112202,28,18.5,8.42591
0.00112202,28,18.75,8.34626
0.00112202,28,19,8.26647
0.00112202,28,19.25,8.18653
0.00112202,28,19.5,8.10644
0.00112202,28,19.75,8.02622
0.00112202,28,20,7.94586
0.00112202,28,20.25,7.86536
0.00112202,28,20.5,7.78471
0.00112202,28,20.75,7.70392
0.00112202,28,21,7.62295
0.00112202,28,21.25,7.54177
0.00112202,28,21.5,7.46032
0.00112202,28,21.75,7.37849
0.00112202,28,22,7.29613
0.00112202,28,22.25,7.21298
0.00112202,28,22.5,7.12859
0.00112202,28,22.75,7.04223
0.00112202,28,23,6.95259
0.00112202,28,23.25,6.85722
0.00112202,28,23.5,6.75086
0.00112202,28,23.75,6.61899
0.00112202,28,24,6.36366
0.00112202,28,24.25,6.36366
0.00125893,22,0,13.1679
0.00125893,22,0.25,13.1525
0.00125893,22,0.5,13.1332
0.00125893,22,0.75,13.1083
0.00125893,22,1,13.0773
0.00125893,22,1.25,13.0396
0.00125893,22,1.5,12.995
0.00125893,22,1.75,12.9432
0.00125893,22,2,12.884
0.00125893,22,2.25,12.8168
0.00125893,22,2.5,12.7409
0.00125893,22,2.75,12.6557
0.00125893,22,3,12.5611
0.00125893,22,3.25,12.4573
0.00125893,22,3.5,12.3451
0.00125893,22,3.75,12.2254
0.00125893,22,4,12.0994
0.00125893,22,4.25,11.9681
0.00125893,22,4.5,11.8325
0.00125893,22,4.75,11.6935
0.00125893,22,5,11.5517
0.00125893,22,5.25,11.4077
0.00125893,22,5.5,11.2622
0.00125893,22,5.75,11.1155
0.00125893,22,6,10.9681
0.00125893,22,6.25,10.8203
0.00125893,22,6.5,10.6725
0.00125893,22,6.75,10.5248
0.00125893,22,7,10.3775
0.00125893,22,7.25,10.2308
0.00125893,22,7.5,10.0848
