pB28,kr22,kr28,pE122,pE128,pE222,pE228,dE,pPE22,pPE28,dP,kPC,dPB,pCL28,pCD,dC,pG,kG,pGP,pGE,pGB,pGH,pHC,mutBox,mutEox,mutPox,mutPko1,mutPko2,mutCox,mutCko1,mutCko2
0.762784,0.232000,0.411000,56.648900,75.082300,24.074900,4.895450,17.595900,0.621785,0.120117,5.138420,43.547500,0.450288,5.743290,93.298800,2.848160,0.009406,0.110890,3.370780,0.029713,8.505850,95.172100,0.359660,61.547500,1.000690,7.525770,0.483472,0.181045,308.033000,0.037688,0.043741
0.758982,0.232000,0.411000,59.368500,77.938000,24.923700,5.167270,18.317900,0.464707,0.074362,6.913760,49.483800,0.353108,4.484690,72.899400,1.938740,0.008164,0.116612,4.001690,0.512408,13.377100,117.716000,0.233270,50.799000,1.000220,5.962450,0.509918,0.205494,229.142000,0.040952,0.582356
0.898678,0.232000,0.411000,8.438450,11.105300,3.272990,0.436096,2.584390,0.480522,0.069264,4.985320,16.860300,0.382691,4.096480,45.345000,1.131000,0.007078,0.115875,1.835250,0.085520,4.236580,50.699800,0.243073,64.000700,1.000840,5.858820,0.521167,0.206919,66.158100,0.065758,0.088004
0.994601,0.232000,0.411000,54.812300,72.216800,22.499700,4.840220,16.897100,0.614449,0.088422,5.325960,38.577700,0.342583,5.844420,114.913000,2.273680,0.010422,0.106889,3.116870,0.016079,9.694650,122.605000,0.370348,79.144800,1.100000,7.755580,0.351090,0.164007,270.944000,0.034432,0.705669
0.875220,0.232000,0.411000,42.633500,56.214100,17.967800,3.622290,13.185900,0.425091,0.062941,4.217090,30.584600,0.337318,5.721670,94.426100,2.371220,0.005158,0.113461,3.506310,0.180315,10.828000,103.857000,0.300955,70.252500,1.000830,6.541390,0.479112,0.185013,218.997000,0.044347,0.475403
0.700887,0.232000,0.411000,44.476100,58.491600,18.064900,3.999090,13.703600,0.686457,0.092129,6.614230,52.422700,0.522556,4.278170,92.530600,2.473400,0.014567,0.104792,4.171970,0.003009,11.829400,107.263000,0.259404,53.539100,1.002770,6.806930,0.430965,0.156936,246.675000,0.024557,0.319941
0.860453,0.232000,0.411000,41.868200,54.675800,16.918700,3.647750,12.832800,0.381778,0.046938,0.716552,27.533800,0.269752,2.714320,20.703900,7.284510,0.006958,0.123511,0.823925,0.066765,2.994300,71.603000,8.824190,43.723800,1.000470,4.953150,0.541401,0.243748,33.791700,0.101822,0.537743
0.790518,0.232000,0.411000,13.976700,18.438100,5.588200,0.867982,4.317250,0.469373,0.079520,4.047140,38.049200,0.325202,4.139830,48.966500,2.253200,0.008805,0.121090,1.663630,0.259277,5.023000,65.035200,0.485359,63.973200,1.005510,5.472550,0.536856,0.229212,85.261000,0.057169,0.696309
0.801183,0.232000,0.411000,34.920100,46.521700,14.742100,2.910360,10.868400,0.634105,0.105676,5.554410,28.205000,0.408305,5.501080,90.002800,1.703460,0.008868,0.111973,2.936040,0.058828,7.569480,84.692700,0.220559,47.418400,1.001800,7.134550,0.491989,0.186910,177.866000,0.040290,0.042895
0.842102,0.232000,0.411000,30.603700,39.968000,12.354700,2.509270,9.390670,0.380660,0.047765,2.257070,11.003000,0.290669,3.462740,34.839500,1.207930,0.007532,0.121568,1.133090,0.147834,3.907250,41.871100,0.315500,37.567600,1.000030,4.893840,0.546580,0.240916,60.327700,0.073753,0.110604
0.870492,0.232000,0.411000,19.444300,25.188000,7.752240,1.372330,5.918350,0.383147,0.063072,4.193390,19.792700,0.265542,4.601140,56.578500,1.230590,0.007000,0.121677,1.393070,0.224524,5.233130,48.545100,0.184353,38.478600,1.000180,4.998150,0.543895,0.239141,119.595000,0.055644,0.456580
1.152340,0.232000,0.411000,62.203000,80.815000,25.323400,5.715690,19.054800,0.345337,0.034192,5.138150,40.764800,0.210165,5.292230,105.790000,1.925980,0.006706,0.122775,3.198180,0.999765,16.190700,120.143000,0.134886,38.025500,1.000320,5.061490,0.554547,0.259751,318.037000,0.038369,0.594465
0.801448,0.232000,0.411000,68.294200,89.110200,28.219800,5.979560,20.942500,0.396986,0.042452,10.389900,45.954900,0.325491,4.377550,112.298000,1.319790,0.008328,0.117573,4.515350,0.927376,16.299100,110.960000,0.067103,53.715100,1.000400,5.392120,0.520542,0.217173,310.163000,0.025909,0.304494
0.850805,0.232000,0.411000,63.045100,82.553200,26.166600,5.564430,19.386400,0.430354,0.057393,3.243930,45.917200,0.290885,5.080580,108.015000,3.400920,0.008634,0.117300,2.626780,0.419864,10.580400,93.810900,0.303124,44.940800,1.001080,5.823430,0.500670,0.209358,301.058000,0.030812,0.731717
0.800953,0.232000,0.411000,59.180900,78.095300,24.860400,5.206670,18.310400,0.530756,0.089408,4.229720,43.324000,0.381892,4.757360,68.453500,2.852050,0.008489,0.113274,2.574420,0.089601,7.489850,85.906300,0.515804,62.942100,1.000490,6.734770,0.492612,0.192419,182.580000,0.046530,0.106796
0.779583,0.232000,0.411000,57.545500,75.362700,24.113200,4.895510,17.710300,0.419991,0.065112,7.520200,51.554500,0.308683,5.219080,104.148000,1.852540,0.008466,0.118380,3.289910,0.615708,12.514500,106.715000,0.146930,53.519000,1.000630,5.699060,0.523077,0.216346,302.077000,0.033496,0.043198
0.957231,0.232000,0.411000,58.599500,76.383500,24.060200,5.117850,18.025000,0.450769,0.074806,4.215970,23.389500,0.255887,4.854570,125.116000,1.564660,0.006349,0.119324,1.914640,0.241390,7.130300,45.674300,0.075504,39.986700,1.000960,5.186040,0.541781,0.233647,259.973000,0.025991,0.406187
0.726722,0.232000,0.411000,65.984800,86.093800,27.260100,5.284270,20.204500,0.386294,0.061060,3.400960,55.074500,0.324063,4.625760,96.575600,3.986950,0.006562,0.119597,4.921520,1.062600,16.730200,131.315000,0.287978,55.724300,1.000510,5.515280,0.538626,0.220050,349.629000,0.030625,0.780320
0.791442,0.232000,0.411000,67.666800,88.117000,28.220500,5.807470,20.792400,0.424665,0.084608,4.979860,52.909000,0.255011,4.658350,79.324500,2.260840,0.006955,0.123032,2.976980,0.685074,13.096300,101.454000,0.222709,51.037100,1.000040,5.193300,0.558105,0.244876,251.677000,0.038815,0.387009
0.856277,0.232000,0.411000,107.721000,127.371000,39.827600,7.286110,27.171700,0.332432,0.028226,4.908130,34.324800,0.312999,5.370070,112.374000,1.788800,0.009052,0.113031,2.933200,0.465035,10.683400,116.486000,0.179771,64.996000,1.185310,6.367230,0.495272,0.198035,498.851000,0.032278,0.056259
0.782606,0.232000,0.411000,64.339500,84.829300,27.278900,5.730620,19.899400,0.446868,0.067783,4.826370,23.325400,0.371223,4.606410,77.896500,1.625820,0.007335,0.114584,3.452880,0.236984,10.804000,76.876600,0.143372,37.254000,1.000100,5.879520,0.512040,0.203433,178.661000,0.039613,0.308512
0.818475,0.232000,0.411000,34.264500,44.114300,13.620800,2.755840,10.391500,0.229325,0.003680,3.605120,50.076100,0.213757,3.328820,54.531300,2.681590,0.005259,0.129997,2.777150,1.712580,13.897400,88.793100,0.243716,35.581200,1.000710,4.003480,0.573453,0.271141,141.010000,0.044424,0.029055
0.754981,0.232000,0.411000,64.133400,84.520500,27.083300,5.591120,19.823900,0.473560,0.075138,4.190040,47.688300,0.370168,4.909640,79.345400,3.170800,0.008333,0.113906,3.525330,0.281727,11.367100,112.836000,0.435722,60.042700,1.000160,6.539060,0.494126,0.194221,247.312000,0.041459,0.522130
0.819244,0.232000,0.411000,61.506000,81.133900,26.023600,5.383470,19.034900,0.520768,0.079712,7.604080,39.110800,0.370331,5.965820,124.674000,1.685280,0.009526,0.113225,3.504930,0.274879,10.989500,106.472000,0.130782,70.360300,1.000040,6.696150,0.495600,0.193986,324.010000,0.031142,0.229459
0.790663,0.232000,0.411000,56.345100,74.727000,24.027500,4.895480,17.521800,0.592170,0.105806,5.097960,46.069200,0.402876,6.083630,98.384200,2.788330,0.010000,0.112108,3.066590,0.105567,8.811350,112.798000,0.384516,69.992300,1.000300,7.436960,0.494657,0.189098,269.302000,0.039794,0.117482
0.812160,0.232000,0.411000,55.771900,72.543400,22.904200,4.865920,17.054800,0.340004,0.023382,3.800490,64.028900,0.342035,4.077820,57.247300,4.584090,0.007299,0.113991,3.890680,0.513641,13.098600,111.380000,0.680721,43.295200,1.000130,5.624470,0.473501,0.196296,149.203000,0.048135,0.472761
0.747265,0.232000,0.411000,29.683300,38.972200,12.271300,2.288340,9.162800,0.574808,0.119065,5.935060,30.995600,0.335226,5.228770,79.700400,1.486610,0.008410,0.115678,3.257350,0.209387,10.679200,101.700000,0.178611,57.175700,1.000330,6.470650,0.541587,0.216705,196.449000,0.044396,0.784756
0.813554,0.232000,0.411000,46.180000,60.888700,18.853100,3.963640,14.202200,0.505750,0.059382,8.199500,51.159200,0.430786,5.158150,100.094000,2.095030,0.008277,0.108202,3.461760,0.129202,9.192820,108.762000,0.383262,65.395800,1.128850,7.904720,0.358429,0.132805,283.500000,0.036470,0.736146
0.846805,0.232000,0.411000,42.119000,55.114700,17.316100,3.415140,13.002100,0.533547,0.058958,7.182470,20.591300,0.330494,4.734970,87.187600,0.937413,0.012447,0.110219,2.784890,0.466765,8.856130,73.622600,0.076404,49.980800,1.018170,5.232430,0.456692,0.211475,160.462000,0.028347,0.719103
1.194400,0.232000,0.411000,16.974700,22.247100,6.513300,1.259250,5.191760,0.289827,0.024978,1.166770,7.623060,0.150438,3.981380,69.921700,1.301840,0.006203,0.133906,0.224914,0.002384,0.881275,9.533510,0.134308,24.859000,1.000050,3.567960,0.568629,0.278730,65.734400,0.044342,0.611389
0.736507,0.232000,0.411000,77.727700,102.254000,33.300400,7.172290,24.057700,0.405137,0.058400,6.783450,38.460700,0.375374,4.988310,118.345000,1.888060,0.007556,0.116865,3.815340,0.671535,11.260200,88.789500,0.105101,49.647800,1.000090,5.777510,0.527033,0.256907,319.017000,0.027203,0.474354
