pB28,pE122,pE128,pE222,pE228,dE,pPE22,pPE28,dP,kPC,dPB,pCL28,pCD,dC,pG,kG,pGP,pGE,pGB,pGH,pHC,mutBox,mutEox,mutPox,mutPko1,mutPko2,mutCox,mutCko
0.003287,-0.000009,0.000001,0.000004,-0.000017,-0.000295,0.003735,0.039330,0.000546,-0.000081,-0.000089,0.000030,-0.000049,0.001697,0.732257,-0.645396,-0.001681,0.000010,0.000096,0.000006,-0.004517,-0.000022,0.012390,-0.000106,-0.001613,-0.000957,-0.000010,0.025537
-0.000942,-0.000033,-0.000024,0.000009,0.000021,-0.000107,0.000549,0.017148,0.000030,-0.000009,-0.001132,0.000009,-0.000040,-0.002507,-0.037126,0.888764,-0.000149,-0.000526,0.000133,-0.000029,0.015850,-0.000009,0.018582,-0.000027,-0.003893,-0.017682,-0.000012,-0.083815
0.003917,0.000051,-0.000380,-0.000285,-0.000151,-0.006432,0.002881,0.003928,0.000064,-0.000046,0.007951,-0.000235,-0.000016,-0.004049,-4.258590,-0.904711,-0.003850,0.008068,-0.000440,-0.000002,0.000777,0.000029,0.012489,0.000138,0.007893,-0.022930,-0.000144,0.026674
0.001587,-0.000253,0.000054,0.000036,0.000015,0.000191,-0.019968,0.005741,-0.001081,0.000114,-0.129592,0.000680,0.000090,-0.014662,3.487540,-3.076380,0.010494,0.012062,-0.000594,-0.000270,0.059907,-0.000023,0.001608,0.001107,-0.094600,0.075017,-0.000008,-0.067480
0.004102,-0.000001,-0.000069,0.000020,-0.000017,-0.000278,0.000459,-0.019679,-0.000024,0.000082,-0.016877,0.000330,0.000140,-0.003854,-15.100300,-2.591570,-0.003188,-0.001722,-0.000137,0.000082,0.019309,0.000068,0.006575,0.000025,-0.001911,-0.004694,-0.000009,0.176904
-0.002967,-0.000055,-0.000072,-0.000209,-0.000000,0.000276,-0.003978,-0.045801,-0.001120,0.000075,-0.019740,-0.001217,0.000016,-0.005912,21.510800,-1.795200,0.004346,0.001957,0.000542,-0.000263,0.028980,-0.000162,0.001712,-0.004555,0.002256,0.006627,-0.000021,-0.068259
0.000868,-0.000036,-0.000084,0.000007,-0.000003,-0.000100,-0.010629,-0.031131,0.002560,-0.000165,0.032131,-0.000832,-0.000247,0.000318,-0.470362,1.368710,-0.014742,-0.009197,0.000110,0.000016,0.000217,0.000000,0.015692,0.001024,0.002237,0.008684,-0.000200,0.002381
-0.000536,-0.001063,-0.000650,-0.000816,-0.000456,0.003802,0.004730,0.012712,-0.000465,0.000029,0.032129,0.000536,0.000104,-0.002601,4.672490,2.948600,0.005221,-0.005231,-0.000439,-0.000117,0.010971,0.000008,0.023671,-0.000037,-0.000069,-0.000232,-0.000081,0.059148
-0.012943,0.000340,-0.000097,-0.000037,0.000057,-0.001440,0.033875,-0.084966,-0.001017,0.000180,-0.033928,0.001594,0.000163,-0.012941,0.385060,-0.294364,0.006398,0.001599,0.000173,-0.000291,0.064691,-0.000065,0.012487,0.000500,0.005424,0.001503,-0.000036,0.178150
0.000596,-0.000176,-0.000174,-0.000026,-0.000028,0.000364,-0.009081,-0.005730,-0.001205,0.000054,0.000036,-0.000221,-0.000335,-0.002611,1.735910,0.365089,-0.006631,0.007634,-0.000004,-0.000093,-0.005029,-0.000041,0.017636,-0.000034,0.003461,-0.001152,-0.000097,0.034341
-0.003524,-0.000009,-0.000548,0.000072,-0.000105,0.000137,-0.031050,0.009003,-0.000615,0.000133,-0.087951,0.002497,-0.000008,-0.017630,-0.565487,1.141380,0.014661,-0.011076,-0.001130,-0.000306,0.077022,0.000003,0.019272,0.000649,0.003006,0.002419,-0.000016,-0.109072
0.004130,-0.000178,-0.000008,-0.000099,0.000037,0.000458,-0.006911,-0.027039,-0.000109,0.000050,-0.119070,-0.000486,0.000077,0.004510,-3.275380,0.737237,0.000966,-0.002908,-0.000413,0.000040,-0.045190,0.000030,0.024778,0.000710,0.000416,0.061466,0.000007,0.653402
-0.000846,0.000008,0.000002,0.000002,0.000003,-0.000267,-0.006862,-0.029263,0.000086,-0.000026,-0.012282,-0.000170,-0.000135,-0.001224,1.008100,0.199329,-0.001040,0.000348,0.000021,0.000014,-0.035771,0.000000,0.019580,0.000021,-0.000440,0.000510,-0.000009,-0.454110
0.000787,-0.000021,0.000002,-0.000021,0.000012,-0.000182,-0.005373,-0.016746,-0.000097,0.000002,-0.015563,0.000003,0.000000,-0.000930,1.736350,0.834003,-0.000619,-0.002307,0.000001,-0.000010,0.010020,-0.000044,0.016228,-0.000203,-0.007248,0.005989,-0.000007,-0.029072
0.001669,-0.000021,-0.000007,-0.000006,0.000012,-0.000191,0.000363,0.010717,-0.000052,-0.000006,-0.002930,0.000034,-0.000014,-0.000736,-1.400190,-0.520335,-0.001881,-0.000702,0.000003,-0.000004,0.003055,0.000000,0.011829,-0.000031,-0.000546,0.001364,-0.000020,0.025537
-0.000254,-0.000014,-0.000003,0.000001,-0.000004,-0.000264,-0.005790,0.021411,0.000000,-0.000001,-0.007252,-0.000041,-0.000005,-0.000411,1.300940,1.259320,-0.000514,-0.000873,-0.000013,-0.000002,0.005743,-0.000000,0.020343,-0.000012,-0.000363,-0.007206,-0.000007,0.060161
-0.001265,0.000001,-0.000161,-0.000023,-0.000043,0.000418,0.009680,0.047125,-0.000103,0.000069,-0.101131,0.000291,-0.000000,-0.005392,-5.206790,-0.592602,0.001072,0.008012,-0.000136,-0.000180,0.057497,0.000032,0.020005,0.000466,0.003919,0.014765,-0.000009,-0.083404
-0.001045,0.000017,0.000051,0.000036,-0.000008,-0.000551,-0.005827,0.041295,-0.001624,0.000124,0.007461,0.000325,-0.000079,0.000677,-4.988090,0.874243,-0.001024,-0.000312,-0.000575,0.000101,-0.029527,0.000050,0.024318,-0.000227,-0.001262,-0.022872,-0.000002,0.111181
-0.002672,-0.000028,-0.000031,0.000013,-0.000002,-0.000009,0.001116,0.104226,-0.000419,0.000053,-0.037936,0.000196,0.000024,-0.002429,-2.481820,2.112990,0.000433,-0.001800,-0.000057,-0.000004,0.013699,0.000051,0.030906,0.000286,-0.002231,-0.002001,-0.000003,0.076124
0.002423,0.003665,0.001477,0.000969,-0.013383,10.943100,-0.654290,-1.191030,0.000078,-0.000016,0.014080,0.000081,-0.000033,0.000335,0.229496,-0.516593,0.064978,-0.102118,0.000153,0.000052,0.000151,-0.000006,-0.144593,-0.000154,0.000937,-0.000215,-0.000002,-0.073122
0.000287,0.000012,0.000006,0.000033,-0.000000,-0.000362,0.001636,-0.016880,0.000088,-0.000030,-0.004400,0.000002,-0.000069,-0.000246,-2.850670,-1.169210,-0.001425,-0.000383,0.000402,-0.000045,-0.007601,-0.000060,0.012107,-0.000241,0.005864,0.000772,-0.000027,-0.021177
-0.002408,-0.000069,0.000041,0.000026,0.000013,-0.000798,-0.020826,-0.029022,-0.000171,0.000055,-0.040387,0.000032,-0.000178,0.001387,-3.338860,1.641190,-0.000028,-0.000019,-0.000365,0.000034,-0.017075,0.000091,0.029593,-0.000525,0.000284,0.000254,0.000010,0.048007
-0.001924,-0.000047,-0.000007,0.000005,0.000008,-0.000073,-0.004969,-0.013785,-0.000454,0.000033,-0.012219,0.000186,0.000021,-0.001674,-1.051380,-0.193150,0.000528,-0.002214,-0.000069,-0.000035,0.007522,-0.000000,0.012419,0.000194,0.000650,0.003476,-0.000011,0.071803
0.001083,0.000007,-0.000016,0.000016,-0.000008,-0.000248,0.004833,-0.007629,-0.000027,-0.000008,-0.008883,0.000007,-0.000026,0.001030,2.409680,-0.130798,-0.001091,-0.000096,-0.000001,0.000003,-0.020696,-0.000003,0.014213,0.000019,-0.000413,-0.000116,-0.000011,0.074914
0.002341,-0.000008,-0.000025,-0.000020,-0.000015,-0.000156,0.009760,0.014066,0.000028,-0.000017,0.008884,-0.000021,-0.000003,0.001844,3.192630,0.131667,-0.002701,0.000272,0.000220,0.000016,-0.010334,-0.000013,0.013977,-0.000021,0.002263,0.006140,-0.000014,0.219954
-0.012404,-0.000061,-0.000141,0.000139,0.000043,0.000250,-0.029698,-0.191559,-0.002004,0.000114,-0.109468,0.003327,-0.000402,0.000138,-2.315090,-1.868570,0.006441,-0.009021,-0.001884,0.000019,-0.012323,-0.000039,0.008910,-0.000362,-0.015142,-0.001809,-0.000006,-0.021851
-0.017249,0.000491,-0.000412,0.000030,-0.000031,-0.000922,0.030542,0.029523,-0.000308,0.000048,-0.066224,0.000136,-0.000081,0.004243,-0.373562,0.391364,0.000420,-0.003732,-0.000509,0.000033,-0.051104,0.000008,0.023801,0.000892,0.005386,-0.008741,-0.000020,0.259801
-0.001163,-0.000036,0.000163,-0.000211,0.000081,-0.000802,-0.013049,-0.127954,-0.003267,0.000511,,0.004653,0.000431,-0.044342,-2.437090,-1.727710,0.016365,0.019643,0.001407,-0.000743,0.144900,,-0.000287,0.003339,-0.049737,-0.080580,-0.000011,0.159519
-0.002772,0.000127,-0.000845,-0.000032,-0.000079,-0.000814,-0.004107,-0.019480,0.000460,-0.000082,-0.004338,-0.000061,-0.000112,0.001134,-1.577220,0.544809,-0.004823,-0.005378,-0.001097,0.000113,-0.003407,0.000019,0.015614,-0.000072,-0.003167,-0.001748,-0.000049,0.000650
-0.008396,0.000420,-0.000242,0.000805,-0.000019,-0.001922,0.053359,-0.012261,-0.001377,0.000347,-0.091849,0.004254,-0.000486,-0.013775,12.108400,-4.914570,-0.007131,0.052939,0.000263,-0.000286,-0.125930,-0.000121,0.016474,-0.004153,-0.041508,0.040868,-0.000034,-0.590393
-0.001140,-0.000515,-0.000043,-0.000314,0.000048,-0.000218,-0.016168,-0.058863,-0.000126,0.000041,-0.113319,-0.000291,-0.000058,-0.004918,-0.408178,-0.278520,-0.165686,0.029173,-0.002764,0.000060,0.029423,-0.000056,0.008870,0.000398,0.004644,0.003131,-0.000044,-0.035718
0.014729,-0.000003,0.000089,-0.000042,0.000051,-0.000382,-0.002624,0.059017,0.003099,-0.000528,0.086360,-0.001652,-0.000001,0.006971,-3.577540,-0.565185,-0.009585,0.010388,0.001322,0.000098,0.090045,0.000007,0.021093,-0.000936,0.002123,0.170041,-0.000013,-0.555993
0.001352,-0.000011,0.000001,0.000013,0.000019,-0.000304,-0.004012,0.019227,-0.000401,-0.000000,0.009669,-0.000041,-0.000016,0.000390,-0.261914,-0.708172,-0.005153,-0.000152,0.000021,0.000004,-0.008588,0.000000,0.008335,-0.000082,-0.000142,0.007646,-0.000052,-0.044094
-0.001541,0.000191,-0.000051,-0.001070,-0.000530,-0.003663,0.004199,-0.036064,0.001515,-0.000278,-0.035411,0.000035,0.000181,-0.009483,-0.440660,1.848520,0.009313,-0.018340,0.000711,-0.000342,0.096738,-0.000012,0.016639,-0.001045,-0.009112,0.003575,-0.000040,0.005619
-0.006983,-0.001378,-0.001487,-0.000332,-0.000276,0.008511,-0.035978,0.116724,-0.000721,0.000131,-0.073014,0.000320,0.000065,-0.014302,-0.298187,1.154610,0.008747,0.000242,-0.001359,-0.000163,0.045974,0.000040,0.026139,0.000756,0.026102,-0.004604,-0.000025,0.019882
0.001262,-0.000780,-0.000098,-0.000078,-0.000039,0.000587,-0.021499,0.024538,-0.000939,0.000216,-0.002029,-0.001513,0.000079,-0.056255,5.483160,0.969959,0.005822,0.012790,0.000367,-0.000428,0.050586,-0.000075,0.020433,-0.000867,0.006964,0.006684,-0.000197,-0.034741
